year,country,sex,name,count,prop,ranking,rank_other
1997,W,F,CAITLIN,101,0.00600797097138778,30,49
1997,W,F,NIA,99,0.00588900124918208,31,638
1997,W,F,PAIGE,99,0.00588900124918208,31,33
1997,W,F,ZOE,98,0.00582951638807923,33,32
1997,W,F,DANIELLE,96,0.00571054666587354,34,28
1997,W,F,HOLLY,93,0.00553209208256499,35,21
1997,W,F,RHIANNON,88,0.00523466777705074,36,94
1997,W,F,ALICE,87,0.00517518291594789,37,26
1997,W,F,BETHANY,82,0.00487775861043365,38,13
1997,W,F,NATASHA,82,0.00487775861043365,38,40
1997,W,F,CARYS,79,0.0046993040271251,40,310
1997,W,F,KATE,78,0.00463981916602225,41,68
1997,W,F,CATRIN,77,0.0045803343049194,42,1294
1997,W,F,SAMANTHA,77,0.0045803343049194,42,38
1997,W,F,KAYLEIGH,76,0.00452084944381655,44,53
1997,W,F,ELEANOR,74,0.00440187972161085,45,18
1997,W,F,ELIZABETH,74,0.00440187972161085,45,30
1997,W,F,ANNA,71,0.0042234251383023,47,41
1997,W,F,KIRSTY,69,0.0041044554160966,48,65
1997,W,F,NICOLE,69,0.0041044554160966,48,36
1997,W,F,ALISHA,68,0.00404497055499375,50,71
1997,W,F,SHAUNA,68,0.00404497055499375,50,152
1997,W,F,GABRIELLE,66,0.00392600083278806,52,104
1997,W,F,AIMEE,64,0.00380703111058236,53,61
1997,W,F,GEMMA,62,0.00368806138837666,54,55
1997,W,F,GRACE,62,0.00368806138837666,54,42
1997,W,F,JODIE,62,0.00368806138837666,54,59
1997,W,F,STEPHANIE,61,0.00362857652727381,57,54
1997,W,F,VICTORIA,59,0.00350960680506811,58,34
1997,W,F,AMBER,58,0.00345012194396526,59,39
1997,W,F,ANGHARAD,58,0.00345012194396526,59,711
1997,W,F,CERYS,58,0.00345012194396526,59,515
1997,W,F,ABBIE,57,0.00339063708286241,62,56
1997,W,F,ASHLEIGH,57,0.00339063708286241,62,69
1997,W,F,LYDIA,56,0.00333115222175956,64,57
1997,W,F,NAOMI,56,0.00333115222175956,64,85
1997,W,F,ALEXANDRA,55,0.00327166736065671,66,43
1997,W,F,SIAN,55,0.00327166736065671,66,74
1997,W,F,SARA,54,0.00321218249955386,68,134
